"Time","D5 siloxane (370) (ppt)","Methanol (ppt)","Propyne (ppt)","Acetonitrile (ppt)","Acetaldehyde (ppt)","Formic Acid (ppt)","Butenes (ppt)","Acetone (ppt)","Acetic Acid (ppt)","Furan (ppt)","Isoprene (ppt)","MACR/MVK (ppt)","MEK (ppt)","Benzene (ppt)","Methylfurans (ppt)","Toluene (ppt)","Furaldehydes (ppt)","C8 Aromatics (ppt)","Methylfurfurals (ppt)","C9 Aromatics (ppt)","C10 Aromatics (ppt)","Monoterpenes (ppt)","Ozone (ppm)","Ambient Temperature","PM2.5 (ug/m3)"
2019-01-29 23:00:00,4.31156321872349,4721.87598823436,847.577790336468,80.8504542400039,563.515566496928,90.9535180596982,519.46408635667,1021.75851683878,363.845694662797,28.4309780043329,125.543601258203,46.3555212210037,116.91126696274,311.457797543197,25.273967988292,409.970467322804,28.2847815656046,356.295096158083,4.22699250288395,213.263420129022,102.70410524353,286.518465450662,0.002,-12.4,22
2019-01-30 00:00:00,3.24348386563614,4742.16204998204,833.731868947861,73.3419731397824,563.37786826875,167.64649910704,523.701845975039,1028.46772764979,337.644784309416,39.3071470287007,117.717746915082,57.6564018913653,134.850024287726,333.857518461249,37.0661948182874,412.117845363704,40.1758694491097,331.318334882802,8.13365230738284,198.380615964234,95.853759422188,212.504411403062,0.002,-12.9,17.9
2019-01-30 01:00:00,4.38967626491618,4086.52987859495,850.156935735756,73.9992947311303,466.593842672397,153.573026704226,525.081532950724,1036.22535646247,326.104716903132,33.6653839169569,119.950001998918,44.7339061483725,124.03413468661,297.643873926089,28.2103284084216,378.888999076197,28.4040861721044,314.320581726735,2.39967573347508,180.072045807607,85.2303710352302,243.622252944378,0.001,-13.5,12.4
2019-01-30 02:00:00,2.74786841387503,2918.32907535523,795.632343866957,68.9106556080892,447.532314920347,74.2734676315588,571.80186174389,867.863942193225,252.380515123635,22.6356208072784,90.9117941719495,37.6153371278732,115.821375897335,262.900302747215,20.724810100407,294.36891460369,21.7202020153771,226.311086569819,1.851128735486,128.439050125093,62.480525540081,194.445745653083,0.001,-14,22.3
2019-01-30 03:00:00,3.4920612438167,2870.06759220374,671.985278191209,66.467918237548,326.707513218427,51.2050099237789,441.630225469848,870.903854578265,256.803703271466,19.0655800400595,94.4991379331444,34.7226153016952,113.189766337352,252.39540918447,15.2753969851266,291.193948736334,19.1241244224918,239.469805987984,0.689400210883497,132.690414834206,64.9239037484077,207.851501737466,0.001,-14.4,12.9
2019-01-30 04:00:00,3.22928540688046,3336.2031710198,712.964483444609,71.4653048689049,271.408708314997,46.6364021386927,501.915717422398,819.349006949251,254.259317844938,16.1838685306703,102.246810902401,34.468788753321,104.810010103432,291.182727968518,12.428323838341,368.130209881654,16.9563109814479,338.821630175367,0,208.261144759559,91.1006415121678,199.744235917467,0.001,-14.9,13.7
2019-01-30 05:00:00,3.59489345176937,3699.3454471581,718.988576825463,64.3271732863283,234.996135471896,61.3582592903641,492.632519634542,792.806217436444,247.222750110318,17.8627131246384,100.51526519364,34.5420987507921,102.2652984392,292.382670274973,14.0075208227004,375.286864187872,18.3717824497511,342.691105159868,0,203.614043448279,92.7134419728763,237.55641520842,0.001,-15,13.2
2019-01-30 06:00:00,5.07656697826757,5726.8311951671,934.22142760731,75.0306429355165,311.861709456932,72.2664119472849,653.877986700176,796.978806330436,251.112006521756,20.4901457002594,119.228888329465,41.2298958086196,103.424874373544,375.288053449627,20.745835107591,517.134166858155,20.0739196739991,471.303254423007,1.13555445079923,277.329394705571,123.367706733384,254.65957926555,0.001,-15.3,12.7
2019-01-30 07:00:00,7.0002474865076,13894.4372963286,1661.43199265008,95.3359104656668,670.647190131668,136.208916478839,1197.83180885399,964.526837425955,330.353482452825,30.449349465267,209.493871105873,70.5175220200668,125.592491985934,713.014587169296,34.0674729583304,1041.54580391248,30.7503050807273,1030.54247318762,7.37273833213318,607.722014448305,268.54525550569,272.261191541686,0.001,-15.4,13.9
2019-01-30 08:00:00,8.30863637127388,24629.6870234114,2697.37474675044,132.083933762804,1364.76230748832,161.496410621515,1965.16793055736,1360.54857282682,513.019125723451,51.3230668541322,311.514169339243,121.708509500534,188.654526437102,977.359326634229,58.8639653274282,1487.81477521467,50.8726725148926,1439.08327467594,15.7733491542456,851.947838156492,378.723710218213,299.12096969099,0.001,-15.1,18.4
2019-01-30 09:00:00,8.02457204623694,25277.5183461902,2556.96726017808,138.612620509164,1748.74773772838,360.407707336545,1943.26795500971,1484.17736145145,570.030360553108,50.5297691627608,294.766972537361,135.694706439174,241.631178112683,960.485903294852,60.1528966501757,1376.22968717028,51.4637842246965,1325.50737669665,15.1176651366099,758.152922770355,334.525132646512,252.259592064544,0.002,-13.7,14.4
2019-01-30 10:00:00,2.07768705016388,15596.5366682453,1564.23574196323,108.861352622293,1236.92146251926,280.042199369248,930.909344965706,978.569579080265,0,60.7759322788578,42.6512711002945,34.9632567168654,167.911126955118,485.542023384998,0,912.096526442095,15.3368520626666,798.892377085415,0,364.857879221688,144.54408301823,107.117578663671,0.003,-10.9,17.7
2019-01-30 11:00:00,5.06575279622431,9781.42698284075,1208.13768968602,100.326406352938,998.350213002708,333.37744110363,907.587547664161,1274.26155940632,526.724290134656,30.465709313552,131.038647873476,66.2936671987987,176.387564172034,452.913044353877,19.9384693925436,690.65281698775,21.6096618470065,592.131309764833,0,299.793125435994,124.412946969621,144.375417812528,0.004,-9.6,12
2019-01-30 12:00:00,4.76619373155686,9927.20795922936,1485.92254461128,117.878075241029,1293.19007672707,431.093690192746,957.924273437099,1402.03872412323,804.228355238724,34.5767771940789,175.953647086342,89.4831402971596,214.928010295394,529.960726473676,37.193467333015,769.479000426408,35.2547976147002,651.01297788154,5.81122224779613,349.247874980421,150.538263811862,157.30667074652,0.004,-7.4,19.2
2019-01-30 13:00:00,3.39548447352497,7006.70035803683,1395.81046975906,128.74792772302,1147.89701930786,468.741642385434,776.554238457472,1639.56618244644,851.473156782917,29.4943115804455,151.512025206879,78.2789588100256,199.382125745368,428.459430035313,32.5202122386103,690.355421741017,31.4136230760388,530.479669394729,4.38208949431489,283.627361087946,121.696023623025,158.149022768814,0.005,-5.8,13.2
2019-01-30 14:00:00,3.40693704846682,6391.78370136663,1317.57618735214,143.346560005827,1022.67359897109,488.940867755968,743.67434091187,2364.99997263271,861.195604649409,24.1972792723011,149.150800647849,73.4576131232635,188.748347597802,420.253854578528,30.4325391698985,990.667375124748,26.2860134329399,615.456661745261,2.57785769635539,333.134602197278,131.602581103379,112.677405704353,0.009,-4.1,12.9
2019-01-30 15:00:00,3.5913161303527,8298.74638850998,1807.58001906226,131.841855846453,1447.48174263743,526.33422668639,1145.0108203494,1860.82675356416,1106.44003924782,31.0670238366958,231.777498463062,107.204568184616,289.449368189468,548.390311448886,40.6748284101509,1124.36252777562,38.1857598048869,836.360785656692,7.61280429793525,420.436270292233,193.22758264486,596.82623971078,0.01,-3.9,16.4
