Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
KMSO,2020-01-01T00:00:00Z,100982.06,0,,92.96,0,0,,,,,,,,454,,,,7,METAR KMSO 010000Z AUTO 00000KT 7SM OVC045 00/M01 A2982,,,,1371.6,,,,,,N,,,overcast,,,,-1.02,89835.75,101345.09
KMSO,2020-01-01T00:05:00Z,100982.06,0,,92.96,0,0,,,31,,,,,454,,,,6,METAR KMSO 010005Z AUTO 00000KT 6SM BR OVC045 00/M01 A2982,,,,1371.6,,,,,,N,,mist,mist,,,,-1.02,89835.75,101345.09
KMSO,2020-01-01T00:10:00Z,100948.2,0,,92.96,0,0,,,31,,,,,434,,,,5,METAR KMSO 010010Z AUTO 00000KT 5SM BR OVC043 00/M01 A2981,,,,1310.64,,,,,,N,,mist,mist,,,,-1.02,89805.63,101311.11
KMSO,2020-01-01T00:15:00Z,100948.2,0,,92.96,0,0,,,31,,,,,434,,,,5,METAR KMSO 010015Z AUTO 00000KT 5SM BR OVC043 00/M01 A2981,,,,1310.64,,,,,,N,,mist,mist,,,,-1.02,89805.63,101311.11
KMSO,2020-01-01T00:20:00Z,100948.2,0,,92.96,0,0,,,31,,,,,434,,,,5,METAR KMSO 010020Z AUTO 00000KT 5SM BR OVC043 00/M01 A2981,,,,1310.64,,,,,,N,,mist,mist,,,,-1.02,89805.63,101311.11
KMSO,2020-01-01T00:25:00Z,100948.2,0,,92.96,0,0,,,31,,,,,434,,,,5,METAR KMSO 010025Z AUTO 00000KT 5SM BR OVC043 00/M01 A2981,,,,1310.64,,,,,,N,,mist,mist,,,,-1.02,89805.63,101311.11
KMSO,2020-01-01T00:30:00Z,100948.2,0,,92.96,0,0,,,31,,,,,434,,,,5,METAR KMSO 010030Z AUTO 00000KT 5SM BR OVC043 00/M01 A2981,,,,1310.64,,,,,,N,,mist,mist,,,,-1.02,89805.63,101311.11
KMSO,2020-01-01T00:35:00Z,100914.33,0,,92.96,2.06,320,,,2521,,,0.127,,414,,,,4,METAR KMSO 010035Z AUTO 32004KT 4SM UP BR OVC041 00/M01 A2980 RMK P0001,,,,1249.68,,,,,-2.53,NW,,"unknown precip,mist","unknown precip,mist",,,,-1.02,89775.5,101277.12
KMSO,2020-01-01T00:40:00Z,100914.33,0,,92.96,1.54,300,,,2521,,,0.127,,394,,,,4,METAR KMSO 010040Z AUTO 30003KT 4SM UP BR OVC039 00/M01 A2980 RMK P0001,,,,1188.72,,,,,-1.82,WNW,,"unknown precip,mist","unknown precip,mist",,,,-1.02,89775.5,101277.12
KMSO,2020-01-01T00:45:00Z,100880.47,0,,92.96,1.54,320,,,2521,,,0.127,,374,,,,4,METAR KMSO 010045Z AUTO 32003KT 4SM UP BR OVC037 00/M01 A2979 RMK P0001,,,,1127.76,,,,,-1.82,NW,,"unknown precip,mist","unknown precip,mist",,,,-1.02,89745.38,101243.14
