"Date_Time","Value"
2020-01-20 04:00:00,-6.65714285714286
2020-01-20 05:00:00,-6.00769230769231
2020-01-20 06:00:00,-6.87333333333333
2020-01-20 07:00:00,-7.16923076923077
2020-01-20 08:00:00,-7.28461538461538
2020-01-20 09:00:00,-6.19285714285714
2020-01-20 10:00:00,-4.25384615384615
2020-01-20 11:00:00,-2.28461538461538
2020-01-20 12:00:00,-1.12307692307692
2020-01-20 13:00:00,0.438461538461538
2020-01-20 14:00:00,2.6
2020-01-20 15:00:00,2.24615384615385
2020-01-20 16:00:00,1.97692307692308
2020-01-20 17:00:00,1.46923076923077
2020-01-20 18:00:00,1.00769230769231
2020-01-20 19:00:00,0.969230769230769
2020-01-20 20:00:00,-0.538461538461538
2020-01-20 21:00:00,-0.7
2020-01-20 22:00:00,-0.846153846153846
2020-01-20 23:00:00,0.0769230769230769
2020-01-21 00:00:00,-0.969230769230769
2020-01-21 01:00:00,-0.623076923076923
2020-01-21 02:00:00,-1.00769230769231
2020-01-21 03:00:00,-1.28461538461538
2020-01-21 04:00:00,-2.52307692307692
2020-01-21 05:00:00,-2.25384615384615
2020-01-21 06:00:00,-2.98461538461538
2020-01-21 07:00:00,-2.83076923076923
2020-01-21 08:00:00,-2.32307692307692
2020-01-21 09:00:00,-1.7
2020-01-21 10:00:00,-0.692307692307692
2020-01-21 11:00:00,0.276923076923077
2020-01-21 12:00:00,1.36153846153846
2020-01-21 13:00:00,2.01538461538462
2020-01-21 14:00:00,2.83076923076923
2020-01-21 15:00:00,2.98461538461538
2020-01-21 16:00:00,2.51538461538462
2020-01-21 17:00:00,1.31538461538462
2020-01-21 18:00:00,1.04615384615385
2020-01-21 19:00:00,1.06
2020-01-21 20:00:00,1.12307692307692
2020-01-21 21:00:00,1.00769230769231
2020-01-21 22:00:00,0.661538461538462
2020-01-21 23:00:00,0.0307692307692308
2020-01-22 00:00:00,-0.430769230769231
2020-01-22 01:00:00,0.507692307692308
2020-01-22 02:00:00,0.623076923076923
2020-01-22 03:00:00,1.23846153846154
2020-01-22 04:00:00,1.23846153846154
2020-01-22 05:00:00,1.00769230769231
2020-01-22 06:00:00,1.12307692307692
2020-01-22 07:00:00,0.392307692307692
2020-01-22 08:00:00,1.43846153846154
2020-01-22 09:00:00,2.01538461538462
2020-01-22 10:00:00,2.52307692307692
2020-01-22 11:00:00,3.68461538461538
2020-01-22 12:00:00,4.46153846153846
2020-01-22 13:00:00,6.13076923076923
2020-01-22 14:00:00,6.9
