"Time","Methanol (ppt)","Propyne (ppt)","Acetonitrile (ppt)","Acetaldehyde (ppt)","Formic Acid (ppt)","Butenes (ppt)","Acetone (ppt)","Acetic Acid (ppt)","Furan (ppt)","Isoprene (ppt)","MACR/MVK (ppt)","MEK (ppt)","Benzene (ppt)","Methylfurans (ppt)","Toluene (ppt)","Furaldehydes (ppt)","C8 Aromatics (ppt)","Methylfurfurals (ppt)","C9 Aromatics (ppt)","C10 Aromatics (ppt)","Monoterpenes (ppt)","m39_m21","Ethanol (ppt)","Maleic Anhydride (ppt)","D5 siloxane (ppt)","Formaldehyde (ppt)","CO (ppb)","ozone","pm25"
2020-01-14 18:00:00,8415.33975151727,870.327205546438,101.451953594233,2067.22315434788,1110.74862652639,630.40298706605,745.298202068992,736.937898525921,24.214620169266,181.828249401058,133.144874253709,85.8727691749315,261.485559112218,46.1386602102046,292.799837198149,30.8828559281113,297.458088084317,15.7445725098297,167.465390804195,78.3630828978901,110.888800141205,0.75129820435867,1497.0747482832,13.7671765754047,10.2622329383105,4112.76859539424,NA,"0.028","3.7"
2020-01-14 19:00:00,7767.52020872411,603.033090444687,108.032620677309,720.169587138006,449.84249516753,464.370393499705,556.509903868877,325.397636645788,21.253553721207,86.8704473818357,44.6418359566659,71.3585797122859,249.584913825682,26.6742029013987,262.563315818606,25.5640649600079,253.864670575684,8.82112095792927,132.485247565595,55.0151958237418,64.3102768603379,0.725087050833693,1795.78318507511,7.42075010463085,10.4656416245179,1569.15352796347,NA,"0.029","5.7"
2020-01-14 20:00:00,2486.27496301136,189.085604796427,92.5187947157997,180.193236490614,66.5562577229303,154.963888985261,406.764839914823,39.0554076376808,4.56913507014172,21.1407902236782,7.02926358891563,51.4636016434124,114.188518156601,2.7087109782732,69.9085929382496,4.11663188518459,52.0313116091977,1.22983230641109,23.5002488410491,8.63981639667147,18.1439461608867,0.618591768631469,499.749587357255,6.91750422285816,3.71081221840774,446.17542829547,NA,"0.042","4.9"
2020-01-14 21:00:00,2128.09004854312,147.879635572667,78.9142873903361,161.515623251647,NA,128.165022019305,372.143764587516,24.6515778930273,4.13939160550477,16.5789197661741,5.51471030445946,50.2966572521515,105.371615604902,3.14409869280999,58.8571567214024,3.21019524889284,44.6770084478141,1.41512980562012,19.6027627653837,7.39745649947484,15.435046880652,0.56636349181585,332.339918524858,2.72538149060004,3.9087639335022,392.479227447675,NA,"0.044","2.3"
2020-01-14 22:00:00,1797.27630987137,170.492733398705,76.8002506752089,236.547175620482,26.3908079688322,143.117365119343,377.73186557155,46.1801827742083,3.2305510551191,19.682785781511,4.77910317641786,51.7345970767718,108.636683281316,3.21769485966492,68.3150624533903,3.12853474238025,50.5143281644993,1.66608855668108,20.5093783642241,7.77397615535411,20.3183686308087,0.595488778702079,394.177051561657,2.80184860895689,5.40489298524162,451.86924833304,NA,"0.042","0.3"
2020-01-14 23:00:00,2127.89927078014,185.222926089939,84.2506444313416,326.87368720167,42.8224470088764,132.51904968039,409.92768408437,79.2839401996626,3.0883982443477,19.0498697718513,5.35982842675962,52.8304686262792,106.407544705923,3.49153155244639,67.8576045024856,3.24682907631953,40.5832045695746,1.69095773783052,15.0745494121066,5.91076156716071,18.6958286222195,0.634444655743911,579.561655408895,2.7135507546702,4.72389262156407,544.866735284754,NA,"0.042","-2.3"
2020-01-15 00:00:00,1818.70198067495,172.913039766972,117.375861013124,328.762985696175,86.394159988142,129.520242704545,408.353800149159,82.7709650788132,4.06634744336107,19.6669174067219,6.57876337495895,54.8080694178437,104.573121617876,3.46260323837303,65.0152151914579,3.32299304950078,39.5539600234293,1.48317257347745,16.8161468432468,6.48563013523093,23.5052105390799,0.631084172530816,566.001973697166,3.04390366265775,4.5696185351604,543.476830114725,NA,"0.042","-3.5"
2020-01-15 01:00:00,1794.48798879709,167.4100339691,217.587010758776,289.778575232489,48.2623019486903,116.74545968387,425.003521327654,125.85454178842,4.58086951253301,18.3454570192769,6.93222240608233,55.8695028962191,100.771091114674,4.16509229214911,55.0398875360647,3.40657319845177,32.833414722658,1.52884600552317,12.0491965468682,4.774555837189,19.8010384780425,0.620194633329232,621.819872202769,3.44838875543789,3.95796640391909,472.837569180378,NA,"0.042","-5.9"
2020-01-15 02:00:00,1793.48621139322,170.118049106154,55.964748778819,275.118380920135,52.4647385487743,131.590241511767,375.908257537198,66.3464665893555,3.92336382790673,22.2274080875494,10.4416126757034,54.5998521335569,104.999345366581,3.52478587553162,61.5240580515958,3.33997666317094,37.7289382440955,1.3230464961415,13.6380731968887,8.1755008056405,78.3639214036482,0.634681081655691,499.86990879757,3.65840206737766,3.00018134726469,531.76043773944,NA,"0.034","-3.8"
2020-01-15 03:00:00,1801.46908938854,209.344017050496,69.9953223426338,307.392979300363,52.361945123059,167.501881523006,405.055635405861,65.9238947401645,2.26376283300166,24.4510219278758,7.4015396253511,53.1002260890629,119.679939567858,2.24859649411587,96.5897965165306,1.98936492116427,80.1524666789185,1.27986982390783,36.2955557500994,13.3868634197331,49.1263492225691,0.583247351493621,670.225381109951,2.47005744631097,6.05475624989986,524.465704444767,NA,"0.026","1.1"
2020-01-15 04:00:00,2944.9012486996,242.429086011937,97.8239191592518,418.25476081033,42.0312093899143,169.709088918667,490.66578615181,106.152571694432,2.56181830282226,30.6454026908758,9.36082942726708,58.2384176680221,113.854740009411,2.38982426201758,82.113987739192,3.28345284162327,57.3057184564167,1.66040745351754,23.5517393779757,9.83918694428968,65.2976913800438,0.560127344791336,1631.0596151146,1.95307549706399,10.6010116760194,682.548828418651,NA,"0.018","4"
2020-01-15 05:00:00,3308.14128180076,323.880131926507,127.062540139568,403.797125165322,48.5740643209798,228.335335570186,494.72716701823,121.039525198765,2.07111779812335,40.3961251584329,8.54324139703133,57.7982835826348,153.498332821199,2.45634721431114,131.239125464895,2.85029951264846,119.67731181218,1.34117239717903,61.6236491033998,22.6996195123338,100.534155221849,0.534705681064961,1735.32748266666,1.86254157647777,14.9240468309015,612.059756424125,NA,"0.015","4.7"
2020-01-15 06:00:00,4639.71207218905,390.671190131597,85.5181359898322,379.490052670274,57.9716085915002,309.389009330308,454.406578958625,82.6596462827502,4.22766481866626,46.6607915621872,12.40917190746,58.1879177768586,182.552267791493,4.65992548997453,184.182839466859,4.41059377037118,176.449040968546,1.76498101472477,88.7402381470884,32.7145336667393,96.8097956708097,0.54204596546756,1595.01242155994,2.47318973649367,12.3092061621754,631.709921900832,NA,"0.014","4.5"
2020-01-15 07:00:00,7964.33476887717,781.138055783636,104.607561266545,617.273681609073,45.8571349100377,837.794615256278,504.640366265833,90.3132193214401,3.16603729096408,90.57595420313,13.6903035548216,66.1440857968048,338.411350119268,4.2673527446562,443.231412906991,4.77849199480648,483.418907587049,2.11166637981418,255.048877397641,88.3842620504194,97.3717107979526,0.526437197015552,2725.76170426481,3.14763981546149,18.3859683984473,876.146896261124,NA,"0.006","5.4"
