Event_ID,Event_Start,Event_Stop,event_hours
1,1/4/20,1/4/20 7:00,8
2,1/19/20 22:00,1/20/20 13:00,16
3,1/21/20 4:00,1/21/20 9:00,6
4,2/20/20 1:00,2/20/20 15:00,15
5,2/20/20 19:00,2/21/20 14:00,20
6,2/21/20 22:00,2/22/20 12:00,15
7,2/28/20 2:00,2/28/20 9:00,8
8,3/5/20 21:00,3/6/20 11:00,15
9,3/6/20 23:00,3/7/20 9:00,11
10,3/15/20 20:00,3/16/20 8:00,13
11,3/17/20 1:00,3/17/20 12:00,12
