"Date_Time","altimeter_set_1","air_temp_set_1","dew_point_temperature_set_1","relative_humidity_set_1","wind_speed_set_1","wind_direction_set_1","wind_gust_set_1","sea_level_pressure_set_1","weather_cond_code_set_1","cloud_layer_3_code_set_1","pressure_tendency_set_1","precip_accum_one_hour_set_1","precip_accum_three_hour_set_1","cloud_layer_1_code_set_1","cloud_layer_2_code_set_1","precip_accum_six_hour_set_1","precip_accum_24_hour_set_1","visibility_set_1","air_temp_high_6_hour_set_1","air_temp_low_6_hour_set_1","peak_wind_speed_set_1","ceiling_set_1","pressure_change_code_set_1","air_temp_high_24_hour_set_1","air_temp_low_24_hour_set_1","peak_wind_direction_set_1","wind_chill_set_1d","heat_index_set_1d","dew_point_temperature_set_1d","pressure_set_1d","temp_flag","wind_flag","spike_flag","dT_mt_over_valley","SBI_flag_1","SBI_flag_2","calm_flag","Event_ID_1","Event_ID_2","event_hours_1","Event_Start_1","Event_Stop_1","event_hours_2","Event_Start_2","Event_Stop_2","ozone","ws","wd","sig","tempamb","pm25"
2020-01-01,100169.33,0,0,100,1.54,30,NA,100370,721,NA,NA,0.025,NA,243,424,NA,NA,0.5,NA,NA,NA,731.52,NA,NA,NA,NA,-2.53,NA,0,89112.73,0,0,0,-1.7,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"0.009",1,98,75,0,18.1
2020-01-01 01:00:00,100067.74,0,0,100,0,0,NA,100280,2481,904,8022,0.025,0.508,415,493,NA,NA,2.5,NA,NA,NA,1432.56,NA,NA,NA,NA,-2.81,NA,0,89022.36,0,0,0,-1.5,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"0.007",0.9,106,65,-0.3,15.1
2020-01-01 02:00:00,100067.74,-1,-0.6,100,0,0,NA,100330,2481,654,NA,0.025,NA,26,373,NA,NA,1,NA,NA,NA,1066.8,NA,NA,NA,NA,-2.96,NA,-1,89022.36,0,0,0,-0.6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"0.006",1,227,86,-0.3,15.3
2020-01-01 03:00:00,100067.74,0,0,100,1.54,20,NA,100290,2481,NA,NA,0.025,NA,355,414,NA,NA,1.625,NA,NA,NA,1127.76,NA,NA,NA,NA,-2.175,NA,0,89022.36,0,0,0,-1.6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"0.005",1.1,50,79,-0.1,9.4
2020-01-01 04:00:00,100033.87,0,0,100,2.06,10,NA,100270,2481,NA,0,1.143,NA,284,304,2.286,4.826,3.5,1.7,-0.6,NA,899.16,NA,NA,NA,NA,-1.91,NA,0,88992.22,0,0,0,-1.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"0.002",1.2,50,60,0.2,12.1
2020-01-01 05:00:00,100000.01,0,0,100,2.06,170,NA,100230,2481,NA,NA,2.921,NA,244,224,NA,NA,2,NA,NA,NA,792.48,NA,NA,NA,NA,-2.53,NA,0,88962.1,0,0,0,-1.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"0.002",0.9,111,62,0.4,13.6
2020-01-01 06:00:00,99966.14,0,0,100,2.06,210,NA,100120,2481,704,NA,0.508,NA,314,473,NA,NA,2,NA,NA,NA,944.88,NA,NA,NA,NA,-2.53,NA,0,88931.97,0,0,0,-1.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"0.012",1,152,41,0.9,9.7
2020-01-01 07:00:00,99864.55,0,0,100,2.57,60,NA,100010,2521,478,6019,0.254,4.318,66,242.5,NA,NA,2.5,NA,NA,NA,304.8,NA,NA,NA,NA,-2.86,NA,0,88841.59,0,0,0,-1.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"0.029",2.4,266,35,2,3.9
2020-01-01 08:00:00,99864.55,1,0,100,2.06,40,NA,100110,13,403.5,NA,0.025,NA,266,368.5,NA,NA,10,NA,NA,NA,1112.52,NA,NA,NA,NA,-1.04,NA,1,88841.59,0,0,0,-3.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"0.027",1.3,44,57,2.4,0
2020-01-01 09:00:00,99932.28,1,1.1,100,2.06,60,NA,100140,2481,434,NA,1.524,NA,254,348.5,NA,NA,5,NA,NA,NA,822.96,NA,NA,NA,NA,-1.36,NA,1,88901.85,0,0,0,-2.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"0.017",0.9,303,57,1.8,-0.2
